"time","prob"
-730,2.05870182380395e-06
-681,2.05870182380395e-06
-679,2.05870182380395e-06
-678,4.11740364760789e-06
-676,4.11740364760789e-06
-675,8.23480729521578e-06
-674,8.23480729521578e-06
-673,1.64696145904316e-05
-672,1.02935091190197e-05
-671,8.23480729521578e-06
-670,1.44109127666276e-05
-669,8.23480729521578e-06
-668,6.17610547141184e-06
-667,6.17610547141184e-06
-665,1.02935091190197e-05
-664,6.17610547141184e-06
-663,4.11740364760789e-06
-662,6.17610547141184e-06
-661,4.11740364760789e-06
-660,6.17610547141184e-06
-659,1.23522109428237e-05
-658,8.23480729521578e-06
-657,4.11740364760789e-06
-656,1.02935091190197e-05
-655,1.02935091190197e-05
-654,1.02935091190197e-05
-653,1.02935091190197e-05
-652,6.17610547141184e-06
-651,6.17610547141184e-06
-650,1.23522109428237e-05
-649,1.44109127666276e-05
-648,8.23480729521578e-06
-647,1.85283164142355e-05
-646,3.08805273570592e-05
-645,6.17610547141184e-06
-644,3.9115334652275e-05
-643,1.85283164142355e-05
-642,3.49979310046671e-05
-641,1.44109127666276e-05
-640,2.26457200618434e-05
-639,2.88218255332552e-05
-638,2.88218255332552e-05
-637,2.88218255332552e-05
-636,1.64696145904316e-05
-635,1.64696145904316e-05
-634,2.05870182380395e-05
-633,3.49979310046671e-05
-632,2.05870182380395e-05
-631,2.47044218856473e-05
-630,2.26457200618434e-05
-629,2.67631237094513e-05
-628,2.26457200618434e-05
-627,1.64696145904316e-05
-626,3.49979310046671e-05
-625,2.47044218856473e-05
-624,3.08805273570592e-05
-623,1.85283164142355e-05
-622,1.44109127666276e-05
-621,1.44109127666276e-05
-620,1.23522109428237e-05
-619,1.85283164142355e-05
-618,1.02935091190197e-05
-617,1.23522109428237e-05
-616,8.23480729521578e-06
-615,2.47044218856473e-05
-614,1.02935091190197e-05
-613,1.23522109428237e-05
-612,4.11740364760789e-06
-611,1.23522109428237e-05
-610,8.23480729521578e-06
-609,1.64696145904316e-05
-608,1.23522109428237e-05
-607,1.23522109428237e-05
-606,4.11740364760789e-06
-605,1.02935091190197e-05
-604,6.17610547141184e-06
-603,1.02935091190197e-05
-602,1.44109127666276e-05
-601,1.02935091190197e-05
-600,2.26457200618434e-05
-599,6.17610547141184e-06
-598,8.23480729521578e-06
-597,1.23522109428237e-05
-596,8.23480729521578e-06
-595,1.02935091190197e-05
-594,1.44109127666276e-05
-593,1.85283164142355e-05
-592,2.67631237094513e-05
-591,1.44109127666276e-05
-590,1.02935091190197e-05
-589,1.02935091190197e-05
-588,2.67631237094513e-05
-587,1.85283164142355e-05
-586,3.49979310046671e-05
-585,2.26457200618434e-05
-584,1.85283164142355e-05
-583,1.85283164142355e-05
-582,1.23522109428237e-05
-581,3.49979310046671e-05
-580,2.67631237094513e-05
-579,2.47044218856473e-05
-578,1.23522109428237e-05
-577,2.67631237094513e-05
-576,2.47044218856473e-05
-575,1.02935091190197e-05
-574,2.05870182380395e-05
-573,2.26457200618434e-05
-572,2.05870182380395e-05
-571,3.9115334652275e-05
-570,2.47044218856473e-05
-569,1.64696145904316e-05
-568,3.08805273570592e-05
-567,1.85283164142355e-05
-566,4.11740364760789e-06
-565,1.23522109428237e-05
-564,2.47044218856473e-05
-563,1.23522109428237e-05
-562,2.26457200618434e-05
-561,8.23480729521578e-06
-560,1.44109127666276e-05
-559,1.02935091190197e-05
-558,1.23522109428237e-05
-557,1.44109127666276e-05
-556,1.23522109428237e-05
-555,1.23522109428237e-05
-554,1.23522109428237e-05
-553,1.64696145904316e-05
-552,1.23522109428237e-05
-551,2.67631237094513e-05
-550,1.44109127666276e-05
-549,1.02935091190197e-05
-548,1.02935091190197e-05
-547,1.64696145904316e-05
-546,2.05870182380395e-05
-545,2.47044218856473e-05
-544,2.67631237094513e-05
-543,2.67631237094513e-05
-542,3.29392291808631e-05
-541,3.49979310046671e-05
-540,2.88218255332552e-05
-539,4.32327382998829e-05
-538,3.08805273570592e-05
-537,4.32327382998829e-05
-536,3.7056632828471e-05
-535,5.76436510665105e-05
-534,4.11740364760789e-05
-533,3.49979310046671e-05
-532,4.73501419474908e-05
-531,3.08805273570592e-05
-530,6.79371601855302e-05
-529,3.49979310046671e-05
-528,5.76436510665105e-05
-527,5.55849492427065e-05
-526,7.4113265656942e-05
-525,0.000100876389366393
-524,8.44067747759618e-05
-523,8.85241784235697e-05
-522,7.82306693045499e-05
-521,7.6171967480746e-05
-520,9.67589857187854e-05
-519,0.000102935091190197
-518,0.000152343934961492
-517,0.000117346003956825
-516,0.000150285233137688
-515,0.000121463407604433
