"time","prob"
-181,0
-174,0
-167,0
-160,0
-153,0.0294117647058824
-146,0.0441176470588235
-139,0.132352941176471
-132,0.132352941176471
-125,0.132352941176471
-118,0.102941176470588
-111,0.0441176470588235
-104,0.117647058823529
-97,0.0294117647058824
-90,0.0147058823529412
-83,0.0294117647058824
-76,0.0294117647058822
-69,0.0147058823529411
-62,0.0147058823529412
-55,0.0147058823529411
-48,0.0147058823529412
-41,0.0147058823529412
-34,0.0147058823529411
-27,0.0147058823529412
-20,0.0147058823529411
-13,0.0441176470588236
-6,0
-1,0
