"time","prob"
-237,0
-230,0.00987532403406987
-223,0.00666584372299716
-216,0.0211085051228243
-209,0.0180224663621775
-202,0.0572768793976052
-195,0.0320948031107271
-188,0.0843105789408715
-181,0.0588816195531416
-174,0.0524626589309962
-167,0.115417849648192
-160,0.0971485001851623
-153,0.0827058387853352
-146,0.0736946056042463
-139,0.120725836316504
-132,0.0118503888408839
-125,0.0344401925688187
-118,0.012714479693865
-111,0.00382668806320208
-104,0.0502407110233304
-97,0.00641896062214542
-90,0.00592519442044193
-83,0.00543142821873832
-76,0
-69,0.0051845451178868
-62,0.00592519442044181
-55,0.00814714232810776
-48,0.00209850635723985
-41,0.00506110356746081
-34,0.000493766201703494
-27,0.00333292186149858
-20,0.0032094803110726
-13,0.00481422046660906
-6,0
-1,0.000493766201703605
